../image/note/effect/note/1.png	258x258+0+0
../image/note/effect/note/2.png	258x258+258+0
../image/note/effect/note/3.png	258x258+516+0
../image/note/effect/note/4.png	258x258+774+0
../image/note/effect/note/5.png	258x258+1032+0
../image/note/effect/note/6.png	258x258+0+258
../image/note/effect/note/7.png	258x258+258+258
../image/note/effect/note/8.png	258x258+516+258
../image/note/effect/note/9.png	258x258+774+258
../image/note/effect/flick/1.png	258x258+1032+258
../image/note/effect/flick/2.png	258x258+0+516
../image/note/effect/flick/3.png	258x258+258+516
../image/note/effect/flick/4.png	258x258+516+516
../image/note/effect/flick/5.png	258x258+774+516
../image/note/effect/flick/6.png	258x258+1032+516
../image/note/effect/flick/7.png	258x258+0+774
../image/note/effect/flick/8.png	258x258+258+774
../image/note/effect/flick/9.png	258x258+516+774
../image/note/effect/flick/10.png	258x258+774+774
../image/note/effect/flick/11.png	258x258+1032+774
../image/note/effect/flick/12.png	258x258+0+1032
../image/note/effect/flick/13.png	258x258+258+1032
../image/note/effect/flick/14.png	258x258+516+1032
../image/note/effect/flick/15.png	258x258+774+1032
../image/note/effect/flick/16.png	258x258+1032+1032
