../image/note/effect/note/1.png	32x256+0+0	32x256	+0+0
../image/note/effect/note/2.png	32x256+32+0	32x256	+32+0
../image/note/effect/note/3.png	32x256+64+0	32x256	+64+0
../image/note/effect/note/4.png	32x256+96+0	32x256	+96+0
../image/note/effect/note/5.png	32x256+128+0	32x256	+128+0
../image/note/effect/note/6.png	32x256+160+0	32x256	+160+0
../image/note/effect/flick/1.png	32x256+192+0	32x256	+192+0
../image/note/effect/flick/2.png	32x256+224+0	32x256	+224+0
../image/note/effect/flick/3.png	32x256+0+256	32x256	+0+256
../image/note/effect/flick/4.png	32x256+32+256	32x256	+32+256
../image/note/effect/flick/5.png	32x256+64+256	32x256	+64+256
../image/note/effect/flick/6.png	32x256+96+256	32x256	+96+256
../image/note/effect/flick/7.png	32x256+128+256	32x256	+128+256
../image/note/effect/flick/8.png	32x256+160+256	32x256	+160+256
../image/note/effect/flick/9.png	32x256+192+256	32x256	+192+256
../image/note/effect/flick/10.png	32x256+224+256	32x256	+224+256
../image/note/effect/flick/11.png	32x256+0+512	32x256	+0+512
../image/note/effect/flick/12.png	32x256+32+512	32x256	+32+512
../image/note/effect/flick/13.png	32x256+64+512	32x256	+64+512
../image/note/effect/flick/14.png	32x256+96+512	32x256	+96+512
../image/note/effect/flick/15.png	32x256+128+512	32x256	+128+512
../image/note/effect/flick/16.png	32x256+160+512	32x256	+160+512
