../image/note/effect/note/1.png	415x214+48+9	400x194	+0+0
../image/note/effect/note/2.png	415x214+560+9	400x194	+512+0
../image/note/effect/note/3.png	415x214+1072+9	400x194	+1024+0
../image/note/effect/note/4.png	415x214+1584+9	400x194	+1536+0
../image/note/effect/note/5.png	415x214+2096+9	400x194	+2048+0
../image/note/effect/note/6.png	415x214+2608+9	400x194	+2560+0
../image/note/effect/flick/1.png	682x674+65+261	682x674	+0+232
../image/note/effect/flick/2.png	682x674+877+261	682x674	+812+232
../image/note/effect/flick/3.png	682x674+1689+261	682x674	+1624+232
../image/note/effect/flick/4.png	682x674+2501+261	682x674	+2436+232
../image/note/effect/flick/5.png	682x674+65+993	682x674	+0+964
../image/note/effect/flick/6.png	682x674+877+993	682x674	+812+964
../image/note/effect/flick/7.png	682x674+1689+993	682x674	+1624+964
../image/note/effect/flick/8.png	682x674+2501+993	682x674	+2436+964
../image/note/effect/flick/9.png	682x674+65+1725	682x674	+0+1696
../image/note/effect/flick/10.png	682x674+877+1725	682x674	+812+1696
../image/note/effect/flick/11.png	682x674+1689+1725	682x674	+1624+1696
../image/note/effect/flick/12.png	682x674+2501+1725	682x674	+2436+1696
../image/note/effect/flick/13.png	682x674+65+2457	682x674	+0+2428
../image/note/effect/flick/14.png	682x674+877+2457	682x674	+812+2428
../image/note/effect/flick/15.png	682x674+1689+2457	682x674	+1624+2428
../image/note/effect/flick/16.png	682x674+2501+2457	682x674	+2436+2428
